start stimulus,start tracking,start escape,,
4,18,19,,
,,,,
time,xMouth,yMouth,xCOM,yCOM
0.036,19.55365474,-10.83992105,19.98979574,-6.496683615
0.038,19.48096457,-10.87626614,19.98979574,-6.496683615
0.04,19.37192933,-10.87626614,20.04431336,-6.55120124
0.042,19.13568628,-10.91261122,20.06248591,-6.569373782
0.044,18.8812707,-10.89443868,20.11700353,-6.678409031
0.046,18.60868258,-10.87626614,20.09883099,-6.678409031
0.048,18.31792191,-10.80357597,20.11700353,-6.769271739
0.05,17.88178092,-10.67636818,20.06248591,-6.860134447
0.052,17.59102025,-10.60367801,20.13517607,-6.950997155
0.054,17.37294975,-10.53098785,20.15334861,-7.041859863
0.056,17.13670671,-10.44012514,20.08065845,-7.078204946
0.058,17.00949892,-10.49464276,20.00796828,-7.187240195
0.06,16.86411859,-10.60367801,19.98246793,-7.23291784
0.062,16.77325588,-10.74905835,19.83824225,-7.319453248
0.064,16.71873825,-10.83992105,19.50652319,-7.44925636
0.066,16.70056571,-11.05799155,19.39114264,-7.506946631
0.068,16.71873825,-11.34875222,19.2324944,-7.579059471
0.07,16.7369108,-11.6031678,19.04500101,-7.651172311
0.072,16.84594605,-11.83941084,18.8719302,-7.780975423
0.074,16.9549813,-12.09382642,18.68443681,-7.910778535
0.076,17.045844,-12.36641455,18.52578856,-8.15596219
0.078,17.13670671,-12.58448504,18.43925316,-8.271342734
0.08,17.19122434,-12.784383,18.35271775,-8.44441355
0.082,17.15487925,-13.05697113,18.23733721,-8.646329502
0.084,17.10036163,-13.29321417,18.13637923,-8.819400317
0.086,16.97315384,-13.56580229,18.12195666,-9.093429109
0.088,16.7369108,-13.78387279,17.99215355,-9.43957074
0.09,16.48101205,-13.99254241,17.97773098,-9.670331828
0.092,16.21584725,-14.17611804,17.97773098,-9.771289804
0.094,15.90988787,-14.38009096,17.94888585,-10.10300887
0.096,15.66512036,-14.54326929,17.81908273,-10.37703766
0.098,15.2979691,-14.68605034,17.7902376,-10.76644699
0.1,15.0532016,-14.86962597,17.64601192,-11.11258863
0.102,14.72684492,-14.95121514,17.57389908,-11.37219485
0.104,14.42088554,-15.17558535,17.38640569,-11.60295594
0.106,14.17611804,-15.3183664,17.17006718,-11.934675
0.108,14.0129397,-15.54273661,17.04026406,-12.12216838
0.11,13.82936407,-15.74670953,16.89603838,-12.30966177
0.112,13.66618573,-15.99147704,16.708545,-12.49715515
0.114,13.50300739,-16.21584725,16.43451621,-12.80002908
0.116,13.33982906,-16.44021746,16.16048742,-13.10290301
0.118,13.2378426,-16.70538226,15.9441489,-13.27597382
0.12,13.05426697,-16.92975247,15.6268524,-13.44904464
0.122,12.89108863,-17.15412269,15.45378159,-13.62211545
0.124,12.72791029,-17.41928749,15.23744307,-13.75191856
0.126,12.58512925,-17.62326041,15.04994968,-13.89614424
0.128,12.40155362,-17.78643874,14.87687887,-14.1413279
0.13,12.23837528,-17.99041167,14.61727264,-14.34324385
0.132,12.07519695,-18.19438459,14.48746953,-14.4586244
0.134,11.91201861,-18.35756292,14.31439872,-14.67496292
0.136,11.70804569,-18.52074126,14.21344074,-14.77592089
0.138,11.54486735,-18.70431689,14.06921506,-14.94899171
0.14,11.34089443,-18.9490844,13.91056681,-15.06437225
0.142,11.19811338,-19.11226273,13.67980573,-15.29513334
0.144,11.05533234,-19.23464649,13.49231234,-15.48262672
0.146,10.87175671,-19.43861941,13.27597382,-15.64127497
0.148,10.68818108,-19.58140045,13.20386098,-15.79992322
0.15,10.46381087,-19.82616796,13.0596353,-16.05952944
0.152,10.3822217,-19.968949,12.82887421,-16.3047131
0.154,10.19864607,-20.13212734,12.6990711,-16.52105162
