start stimulus,start tracking,start escape,,
14,23,24,,
,,,,
time,xMouth,yMouth,xCOM,yCOM
0.046,20.993,-8.807,22.929,-4.369
0.048,20.897,-8.807,22.906,-4.346
0.05,20.833,-8.711,22.906,-4.346
0.052,20.609,-8.583,22.974,-4.369
0.054,20.513,-8.455,23.02,-4.436
0.056,20.257,-8.327,23.065,-4.527
0.058,20.097,-8.039,23.088,-4.55
0.06,19.904,-7.879,23.155,-4.663
0.062,19.648,-7.526,23.269,-4.799
0.064,19.488,-7.238,23.563,-4.912
0.066,19.296,-6.886,23.45,-4.866
0.068,19.168,-6.469,23.608,-4.957
0.07,19.104,-6.021,23.608,-5.07
0.072,18.944,-5.573,23.676,-5.229
0.074,18.976,-5.124,23.721,-5.319
0.076,19.008,-4.58,23.676,-5.5
0.078,19.072,-4.099,23.54,-5.681
0.08,19.232,-3.619,23.45,-5.727
0.082,19.392,-3.299,23.404,-5.749
0.084,19.552,-2.882,23.246,-5.84
0.086,19.648,-2.594,23.042,-5.84
0.088,19.712,-2.338,22.884,-5.84
0.09,19.776,-2.114,22.793,-5.749
0.092,19.808,-1.761,22.657,-5.432
0.094,19.776,-1.633,22.59,-5.364
0.096,19.616,-1.505,22.59,-5.274
0.098,19.424,-1.217,22.431,-5.093
0.1,19.264,-1.153,22.318,-4.934
0.102,19.072,-1.057,22.227,-4.685
0.104,18.848,-0.961,22.092,-4.482
0.106,18.752,-0.833,22.046,-4.391
0.108,18.527,-0.769,22.001,-4.233
0.11,18.367,-0.673,21.91,-4.006
0.112,18.207,-0.641,21.82,-3.916
0.114,17.951,-0.576,21.752,-3.735
0.116,17.855,-0.448,21.571,-3.418
0.118,17.599,-0.384,21.503,-3.192
0.12,17.374,-0.48,21.367,-2.92
0.122,17.246,-0.288,21.231,-2.784
0.124,17.15,-0.192,21.186,-2.716
0.126,17.054,-0.16,21.096,-2.626
0.128,16.926,-0.16,21.073,-2.467
0.13,16.83,-0.032,20.892,-2.331
0.132,16.702,0,20.892,-2.263
0.134,16.51,0.096,20.756,-2.173
0.136,16.414,0.16,20.733,-2.037
0.138,16.253,0.224,20.643,-1.924
0.14,16.157,0.288,20.598,-1.811
0.142,15.965,0.224,20.462,-1.698
0.144,15.869,0.256,20.303,-1.652
0.146,15.677,0.32,20.19,-1.539
0.148,15.613,0.352,20.1,-1.449
0.15,15.453,0.448,19.987,-1.335
0.152,15.261,0.48,19.805,-1.222
0.154,15.229,0.512,19.67,-1.132
0.156,15.1,0.609,19.579,-0.996
0.158,14.972,0.705,19.489,-0.86
0.16,14.812,0.641,19.398,-0.77
0.162,14.716,0.576,19.353,-0.724
0.164,14.556,0.609,19.285,-0.702
0.166,14.492,0.673,19.149,-0.724
0.168,14.396,0.673,19.013,-0.656
0.17,14.332,0.576,18.923,-0.543
0.172,14.204,0.576,18.832,-0.475
0.174,14.076,0.609,18.606,-0.34
0.176,14.012,0.673,18.606,-0.34
0.178,13.883,0.705,18.583,-0.317
0.18,13.723,0.769,18.47,-0.272
