TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE
2020-21,A69-9006-7849,6/20/2020 0:46,5374.69,5292.34,-0.607,34.401724,-119.545133,2,4.7
2020-21,A69-9006-7849,6/20/2020 0:57,5122.3,5560.71,-0.607,34.404144,-119.547878,2,7.1
2020-21,A69-9006-7849,6/20/2020 1:15,4637.29,5997.78,-0.607,34.408084,-119.553153,3,6.8
2020-21,A69-9006-7849,6/20/2020 4:31,5010.76,5676.12,-0.607,34.405184,-119.549091,1,11.6
2020-21,A69-9006-7849,6/20/2020 4:36,4854.59,5796.55,-0.607,34.40627,-119.55079,1,4.6
2020-21,A69-9006-7849,6/20/2020 4:56,4643.41,5775.67,-0.607,34.406081,-119.553086,4,3
2020-21,A69-9006-7849,6/20/2020 5:10,4982.02,5439.15,-0.607,34.403048,-119.549404,2,3.6
2020-21,A69-9006-7849,6/20/2020 5:13,5025.91,5348.99,-0.607,34.402235,-119.548926,2,2.8
2020-21,A69-9006-7849,6/20/2020 5:14,5058.96,5308.94,-0.607,34.401874,-119.548567,8,2.6
2020-21,A69-9006-7849,6/20/2020 5:19,5124.48,5198.56,-0.607,34.400879,-119.547854,1,3.1
2020-21,A69-9006-7849,6/20/2020 5:20,5154.19,5170.48,-0.607,34.400626,-119.547531,4,2.7
2020-21,A69-9006-7849,6/20/2020 5:22,5214.91,5092.31,-0.607,34.399921,-119.546871,1,4.9
2020-21,A69-9006-7849,6/20/2020 6:44,4700.06,5442.43,-0.607,34.403077,-119.55247,2,3.1
2020-21,A69-9006-7849,6/20/2020 6:51,4477.49,5410.86,-0.607,34.402793,-119.554891,1,3.6
2020-20,A69-9006-7853,6/20/2020 7:05,4995.23,5243.89,-0.607,34.401288,-119.54926,1,3.5
2020-20,A69-9006-7853,6/20/2020 7:14,5031.03,5465.64,-0.607,34.403287,-119.548871,1,4.9
2020-20,A69-9006-7853,6/20/2020 7:15,4979.13,5470.31,-0.607,34.403329,-119.549435,3,3.4
2020-20,A69-9006-7853,6/20/2020 7:16,4946.81,5475.78,-0.607,34.403378,-119.549786,1,4.1
2020-20,A69-9006-7853,6/20/2020 7:19,4867.37,5494.2,-0.607,34.403544,-119.55065,1,4
2020-21,A69-9006-7849,6/20/2020 7:20,4757.29,5564.32,-0.607,34.404176,-119.551848,3,3.1
2020-20,A69-9006-7853,6/20/2020 7:22,4770.51,5549.47,-0.607,34.404042,-119.551704,4,2.6
2020-20,A69-9006-7853,6/20/2020 7:26,4670.75,5514.8,-0.607,34.40373,-119.552789,3,3.1
2020-20,A69-9006-7853,6/20/2020 7:27,4670.1,5478.11,-0.607,34.403399,-119.552796,7,2.6
2020-20,A69-9006-7853,6/20/2020 7:28,4668.74,5435.58,-0.607,34.403016,-119.552811,2,3.1
2020-21,A69-9006-7849,6/20/2020 7:29,4957.54,5321.56,-0.607,34.401988,-119.54967,8,2.6
2020-21,A69-9006-7849,6/20/2020 7:30,4980.3,5291.34,-0.607,34.401715,-119.549422,3,2.8
2020-21,A69-9006-7849,6/20/2020 7:37,5183.54,5111.32,-0.607,34.400093,-119.547212,1,5
2020-20,A69-9006-7853,6/20/2020 7:41,4902.7,5137.58,-0.607,34.400329,-119.550266,2,3.2
2020-20,A69-9006-7853,6/20/2020 7:44,5019.72,5109.23,-0.607,34.400074,-119.548994,10,2.5
2020-21,A69-9006-7849,6/20/2020 7:47,5430.71,4846.04,-0.607,34.397701,-119.544524,1,3.3
2020-20,A69-9006-7853,6/20/2020 7:48,5147.39,5035.91,-0.607,34.399413,-119.547605,1,4.5
2020-20,A69-9006-7853,6/20/2020 7:49,5170.56,5012.26,-0.607,34.3992,-119.547353,1,3.5
2020-20,A69-9006-7853,6/20/2020 8:50,5274.68,5113.87,-0.607,34.400116,-119.546221,2,3.1
2020-20,A69-9006-7853,6/20/2020 8:55,5150.66,5182.9,-0.607,34.400738,-119.547569,4,2.7
2020-20,A69-9006-7853,6/20/2020 9:03,4934.69,5223.25,-0.607,34.401102,-119.549918,1,4.4
2020-20,A69-9006-7853,6/20/2020 9:06,4849.95,5244.67,-0.607,34.401295,-119.55084,7,2.6
2020-20,A69-9006-7853,6/20/2020 9:09,4729.49,5267.15,-0.607,34.401497,-119.55215,1,4.1
2020-20,A69-9006-7853,6/20/2020 9:12,4678.27,5307.36,-0.607,34.40186,-119.552707,1,4.4
2020-20,A69-9006-7853,6/20/2020 9:15,4601.94,5388.32,-0.607,34.402589,-119.553537,1,4
2020-20,A69-9006-7853,6/20/2020 9:18,4594.87,5473.97,-0.607,34.403362,-119.553614,1,3.5
2020-20,A69-9006-7853,6/20/2020 9:21,4671.31,5474.08,-0.607,34.403363,-119.552783,2,3
2020-20,A69-9006-7853,6/20/2020 9:25,4808.22,5419.32,-0.607,34.402869,-119.551294,1,3.2
2020-20,A69-9006-7853,6/20/2020 9:32,4989.72,5233.02,-0.607,34.40119,-119.54932,1,3
2020-20,A69-9006-7853,6/20/2020 9:34,5024.97,5192.98,-0.607,34.400829,-119.548936,4,2.7
2020-20,A69-9006-7853,6/20/2020 9:35,5050.91,5151.57,-0.607,34.400455,-119.548654,1,3.2
2020-20,A69-9006-7853,6/20/2020 9:46,5324.26,5020.8,-0.607,34.399276,-119.545682,2,4.3
2020-20,A69-9006-7853,6/20/2020 11:10,4174.26,5507.39,-0.607,34.403663,-119.558189,2,5.2
2020-20,A69-9006-7853,6/20/2020 11:15,4182.69,5666.14,-0.607,34.405094,-119.558097,1,5
2020-20,A69-9006-7853,6/20/2020 11:18,4207.07,5783.62,-0.607,34.406153,-119.557832,3,3.2
2020-20,A69-9006-7853,6/20/2020 11:23,4262.11,5952.05,-0.607,34.407671,-119.557234,4,2.6
2020-20,A69-9006-7853,6/20/2020 11:24,4282.57,5992.36,-0.607,34.408035,-119.557011,14,2.5
2020-20,A69-9006-7853,6/20/2020 11:27,4313.7,6076.36,-0.607,34.408792,-119.556673,8,2.7
2020-20,A69-9006-7853,6/20/2020 11:31,4379.37,6184.34,-0.607,34.409765,-119.555958,11,3.2
2020-20,A69-9006-7853,6/20/2020 11:32,4349.7,6190.62,-0.607,34.409822,-119.556281,1,4.4
2020-20,A69-9006-7853,6/20/2020 11:37,4163.35,6131.98,-0.607,34.409293,-119.558308,3,2.7
2020-20,A69-9006-7853,6/20/2020 11:38,4139.1,6114.3,-0.607,34.409134,-119.558572,8,2.6
2020-20,A69-9006-7853,6/20/2020 11:43,4041.06,5960.31,-0.607,34.407745,-119.559638,1,3.7
2020-20,A69-9006-7853,6/20/2020 11:48,3933.9,5848.22,-0.607,34.406735,-119.560803,1,4.1
2020-20,A69-9006-7853,6/20/2020 11:49,3908.5,5838.21,-0.607,34.406645,-119.56108,1,4.6
2020-20,A69-9006-7853,6/20/2020 11:53,3772.6,5793.94,-0.607,34.406245,-119.562558,2,5.1
2020-20,A69-9006-7853,6/21/2020 4:43,5146.94,4945.03,-0.607,34.398593,-119.54761,4,2.9
2020-20,A69-9006-7853,6/21/2020 4:44,5121.12,4976.28,-0.607,34.398875,-119.547891,1,3.3
2020-20,A69-9006-7853,6/21/2020 4:48,5126.24,5107.87,-0.607,34.400061,-119.547835,1,3.5
2020-20,A69-9006-7853,6/21/2020 4:49,5126.92,5144.93,-0.607,34.400395,-119.547828,2,2.7
2020-20,A69-9006-7853,6/21/2020 4:51,5121.57,5207.74,-0.607,34.400962,-119.547886,1,4.1
2020-20,A69-9006-7853,6/21/2020 5:05,4969.74,5532.88,-0.607,34.403893,-119.549537,1,4.4
2020-20,A69-9006-7853,6/21/2020 5:07,4897.21,5533.85,-0.607,34.403901,-119.550326,4,2.9
2020-20,A69-9006-7853,6/21/2020 5:08,4871.8,5535.46,-0.607,34.403916,-119.550602,1,4.6
2020-20,A69-9006-7853,6/21/2020 5:09,4849.85,5560.39,-0.607,34.404141,-119.550841,1,3.3
2020-20,A69-9006-7853,6/21/2020 5:12,4772.49,5643.36,-0.607,34.404889,-119.551682,1,4.8
2020-20,A69-9006-7853,6/21/2020 5:17,4663.6,5748.2,-0.607,34.405834,-119.552867,1,3.5
2020-20,A69-9006-7853,6/21/2020 5:20,4596.88,5746.15,-0.607,34.405815,-119.553592,4,2.7
2020-20,A69-9006-7853,6/21/2020 5:29,4540.96,6044.3,-0.607,34.408503,-119.554201,1,6.6
2020-20,A69-9006-7853,6/21/2020 5:38,4443.76,5821.07,-0.607,34.406491,-119.555258,1,2.9
2020-20,A69-9006-7853,6/21/2020 5:39,4434.66,5787.65,-0.607,34.406189,-119.555357,4,2.7
2020-20,A69-9006-7853,6/21/2020 5:42,4397.21,5717.31,-0.607,34.405555,-119.555764,2,3.5
2020-20,A69-9006-7853,6/21/2020 5:43,4399.08,5687.46,-0.607,34.405286,-119.555744,4,2.6
2020-20,A69-9006-7853,6/21/2020 5:44,4406.62,5652.74,-0.607,34.404973,-119.555662,1,2.9
2020-20,A69-9006-7853,6/21/2020 5:45,4448.97,5636.62,-0.607,34.404828,-119.555201,1,3.1
2020-20,A69-9006-7853,6/21/2020 5:51,4677.8,5587.92,-0.607,34.404389,-119.552712,12,2.6
2020-20,A69-9006-7853,6/21/2020 5:54,4789.13,5573.84,-0.607,34.404262,-119.551501,1,3.5
2020-20,A69-9006-7853,6/21/2020 5:57,4860.33,5551.26,-0.607,34.404058,-119.550727,1,3.3
2020-20,A69-9006-7853,6/21/2020 5:57,4883.37,5528.26,-0.607,34.403851,-119.550476,1,3.2
2020-20,A69-9006-7853,6/21/2020 6:00,4948.54,5484.62,-0.607,34.403458,-119.549768,1,3
2020-21,A69-9006-7849,6/21/2020 6:29,4574.96,5325.51,-0.607,34.402023,-119.553831,2,3.2
2020-21,A69-9006-7849,6/21/2020 6:30,4598.49,5340.11,-0.607,34.402155,-119.553575,2,3.1
2020-21,A69-9006-7849,6/21/2020 7:05,5420.51,4904.18,-0.607,34.398225,-119.544635,1,3
2020-20,A69-9006-7853,6/21/2020 7:26,5497.46,5035.42,-0.607,34.399408,-119.543798,1,3.7
2020-20,A69-9006-7853,6/21/2020 7:43,5202.43,4878.5,-0.607,34.397994,-119.547007,1,3.8
2020-20,A69-9006-7853,6/21/2020 7:44,5182.89,4904.97,-0.607,34.398232,-119.547219,1,3.6
2020-20,A69-9006-7853,6/21/2020 7:45,5162.82,4936.84,-0.607,34.39852,-119.547437,10,2.7
2020-20,A69-9006-7853,6/21/2020 7:48,5117.66,5014.45,-0.607,34.399219,-119.547928,1,5
2020-20,A69-9006-7853,6/21/2020 7:49,5107.5,5036.83,-0.607,34.399421,-119.548039,4,2.9
2020-21,A69-9006-7849,6/21/2020 7:49,5457.4,4817.85,-0.607,34.397447,-119.544234,1,3.6
2020-20,A69-9006-7853,6/21/2020 7:50,5093.49,5059.53,-0.607,34.399626,-119.548191,1,3.5
2020-21,A69-9006-7849,6/21/2020 7:50,5450.06,4839.08,-0.607,34.397638,-119.544313,1,3.4
2020-21,A69-9006-7849,6/21/2020 8:00,5289.24,5052.54,-0.607,34.399563,-119.546062,1,4
2020-21,A69-9006-7849,6/21/2020 8:09,5077.08,5168.1,-0.607,34.400604,-119.54837,3,2.9
2020-20,A69-9006-7853,6/21/2020 8:11,5107.82,5071.88,-0.607,34.399737,-119.548035,4,2.8
2020-20,A69-9006-7853,6/21/2020 8:13,5132.23,5127.2,-0.607,34.400236,-119.54777,1,3.4
2020-21,A69-9006-7849,6/21/2020 8:13,4982.75,5262.24,-0.607,34.401453,-119.549396,4,2.7
2020-21,A69-9006-7849,6/21/2020 8:15,4940.05,5303.31,-0.607,34.401823,-119.54986,3,3
2020-20,A69-9006-7853,6/21/2020 8:16,5203.06,5171.61,-0.607,34.400636,-119.547,3,3
2020-20,A69-9006-7853,6/21/2020 8:19,5291.42,5086.14,-0.607,34.399865,-119.546039,1,6
2020-21,A69-9006-7849,6/21/2020 8:27,4677.55,5491.78,-0.607,34.403522,-119.552715,7,2.7
2020-21,A69-9006-7849,6/21/2020 8:35,4422.37,5581.15,-0.607,34.404328,-119.55549,8,2.6
2020-21,A69-9006-7849,6/21/2020 8:36,4402.52,5608.82,-0.607,34.404577,-119.555706,1,3
2020-21,A69-9006-7849,6/21/2020 8:39,4349.43,5666.63,-0.607,34.405098,-119.556284,7,2.6
2020-19,A69-9006-7851,6/21/2020 8:44,5364.6,4625.14,-0.607,34.39571,-119.545243,1,11.1
2020-21,A69-9006-7849,6/21/2020 8:46,4241.11,5862.93,-0.607,34.406868,-119.557462,9,2.6
2020-21,A69-9006-7849,6/21/2020 8:47,4204.9,5866.84,-0.607,34.406903,-119.557856,9,2.5
2020-21,A69-9006-7849,6/21/2020 8:49,4160.42,5901.72,-0.607,34.407217,-119.55834,9,2.5
2020-19,A69-9006-7851,6/21/2020 8:50,5299.41,4675.72,-0.607,34.396166,-119.545952,1,5.3
2020-21,A69-9006-7849,6/21/2020 8:50,4133.74,5924,-0.607,34.407418,-119.55863,3,3.3
2020-21,A69-9006-7849,6/21/2020 8:52,4111.6,5967.5,-0.607,34.40781,-119.558871,4,2.6
2020-21,A69-9006-7849,6/21/2020 8:53,4098.03,5989.17,-0.607,34.408006,-119.559018,8,2.5
2020-21,A69-9006-7849,6/21/2020 8:53,4085.25,6011.63,-0.607,34.408208,-119.559157,8,2.5
2020-21,A69-9006-7849,6/21/2020 8:54,4067.11,6036.84,-0.607,34.408435,-119.559355,3,3.8
2020-19,A69-9006-7851,6/21/2020 8:59,5096.39,4674.56,-0.607,34.396155,-119.54816,1,20.9
2020-19,A69-9006-7851,6/21/2020 9:03,5109.06,4732.9,-0.607,34.396681,-119.548022,1,14.3
2020-21,A69-9006-7849,6/21/2020 9:07,3740.38,6056.92,-0.607,34.408616,-119.562908,2,2.8
2020-19,A69-9006-7851,6/21/2020 9:09,5238.34,4833.32,-0.607,34.397586,-119.546616,7,2.8
2020-19,A69-9006-7851,6/21/2020 9:12,5299.08,4893.23,-0.607,34.398126,-119.545955,1,3
2020-19,A69-9006-7851,6/21/2020 9:12,5317.58,4903.16,-0.607,34.398216,-119.545754,1,2.9
2020-20,A69-9006-7853,6/21/2020 9:19,4886.88,5082.87,-0.607,34.399836,-119.550438,1,3.6
2020-20,A69-9006-7853,6/21/2020 9:26,4749.07,5213.79,-0.607,34.401016,-119.551937,4,2.8
2020-20,A69-9006-7853,6/21/2020 9:27,4756.28,5246.43,-0.607,34.40131,-119.551859,1,2.9
2020-20,A69-9006-7853,6/21/2020 9:42,5181.29,5048.57,-0.607,34.399527,-119.547236,4,3.1
2020-19,A69-9006-7851,6/21/2020 9:43,5241.5,4570.98,-0.607,34.395222,-119.546582,2,31.4
2020-20,A69-9006-7853,6/21/2020 9:44,5235.42,4987.15,-0.607,34.398973,-119.546648,1,3.6
2020-20,A69-9006-7853,6/21/2020 9:57,5542.85,4883.6,-0.607,34.39804,-119.543304,1,3.5
2020-20,A69-9006-7853,6/21/2020 10:24,5248.22,4838.8,-0.607,34.397636,-119.546508,1,5
2020-20,A69-9006-7853,6/21/2020 10:29,5185.97,4963.64,-0.607,34.398761,-119.547185,3,2.8
2020-20,A69-9006-7853,6/21/2020 10:30,5164.4,4992.07,-0.607,34.399018,-119.54742,1,3.1
2020-20,A69-9006-7853,6/21/2020 10:32,5131.79,5011.63,-0.607,34.399194,-119.547775,4,2.7
2020-20,A69-9006-7853,6/21/2020 10:35,5038.97,4969.36,-0.607,34.398813,-119.548784,4,2.7
2020-20,A69-9006-7853,6/21/2020 10:38,4966.98,4985.32,-0.607,34.398957,-119.549567,1,3.4
2020-20,A69-9006-7853,6/21/2020 10:43,5018.13,5108.39,-0.607,34.400066,-119.549011,10,2.5
2020-19,A69-9006-7851,6/21/2020 10:46,5268.57,4695.18,-0.607,34.396341,-119.546287,1,5
2020-20,A69-9006-7853,6/21/2020 10:49,5148.54,4952.16,-0.607,34.398658,-119.547593,1,3.7
2020-20,A69-9006-7853,6/21/2020 10:50,5164.8,4912.66,-0.607,34.398302,-119.547416,3,2.9
2020-19,A69-9006-7851,6/21/2020 10:59,5086.65,4899.72,-0.607,34.398185,-119.548266,8,2.5
2020-19,A69-9006-7851,6/21/2020 11:01,5063.6,4931.38,-0.607,34.39847,-119.548516,1,3.5
